,Title,Price,MRP,link
10,"nePlus Pad Go 28.85Cm 2.4K 7:5 Ratio Readfit Eye Care LCD Display, Dolby Atmos Quad Speakers, 4G LTE(Calling) + Wi-Fi Connectivity Tablet, 8GB RAM 128 GB Storage Expandable Up-to 1TB Asin, Gree","19,999","21,999",https://www.amazon.in/OnePlus-28-85cm-11-35-inch-2-4K/dp/B0CJ94J5CX/ref=sr_1_70?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-70&xpid=HcM-_OC8u0A4U
11,"ooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Blue Color, Power Source: 3xAA Battery (Not Included",367,799,https://www.amazon.in/Gooyo-Educational-Laptop-Toy-Toddlers/dp/B0BMVM18R8/ref=sr_1_71?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-71&xpid=HcM-_OC8u0A4U
12,"enovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014H","15,990","36,502",https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_7?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.JKFtIipyheq5FafwyKT3dhCNm7ee7e_m5eMfAR0I5va-9-xZ71gvZN50TdphoIbeLBc63kWHBZ5L39_ZRSev_Si4gcvwl5vWFM1JrgjPHS41X5XaVSbNkXbETLGLa0TDFjB7kCvDyvx9rPf3C9OhYl5e9J78FtUR7_x2cPGooUzoEAIv7f3VLuHibc5Rnf4WgDEkPAnFmTQoD-g6PC0ytesx8N5iV5CHk-po1WFeqTY.x3FznVR8gSrwDIWgEGZOh34Twr6cbNBLSerkJzS_b4g&dib_tag=se&keywords=laptop&qid=1751792218&sprefix=laptop%2Caps%2C205&sr=8-7&xpid=HcM-_OC8u0A4U
13,"P 15, Intel Ultra 5 125H, 12 TOPS (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, fd1255TU, Intel Arc Graphics, FHD Camera w/shutter, AI powered Lapto","68,490",,https://www.amazon.in/HP-Office24-fd1255TU-Graphics-shutter/dp/B0F5B1N9SJ/ref=sr_1_72?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-72&xpid=HcM-_OC8u0A4U
14,"ygot 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Grey",329,"1,999",https://www.amazon.in/Tygot-Laptop-Stand-Adjustable-OverHeating/dp/B0D9FL6CFX/ref=sr_1_73?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-73&xpid=HcM-_OC8u0A4U
15,"agicRaven Portable Monitor, 15.6"" 1920 * 1080P IPS Laptop Screen, 60Hz Lightweight and Slim Travel Monitor with Full-Featured USB C HDMI Port, Gaming Display for PC Switch Xbox PS3/4/","12,499","16,500",https://www.amazon.in/MagicRaven-Portable-Lightweight-Computer-Speakers/dp/B0D841Z2XP/ref=sr_1_74?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-74&xpid=HcM-_OC8u0A4U
16,"SI Thin 15, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Office 2021/NVIDIA GeForce RTX 3050, GDDR6 4GB/Cosmos Gray/1.86Kg) B12UC-2239I","74,511","1,00,000",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzg4ODMzNjU4NzIxMjYwOjE3NTE3OTIyNTQ6c3BfbXRmOjMwMDYxNjM0NjgxODMzMjo6MDo6&url=%2FMSI-i7-12650H-Windows-GeForce-B12UC-2239IN%2Fdp%2FB0DQPTMBKM%2Fref%3Dsr_1_75_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792254%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-75-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB
17,"enovo LOQ 2024 12Th Gen Intel Core I5-12450HX | NVIDIA RTX 2050 4GB (12GB RAM/512GB SSD/15.6"" (39.6Cm)/Windows 11/Office Home 2024/100% Srgb/3 Mon. Game Pass/Grey/2.4Kg), 83GS00LJIN Gaming Lapto","63,990","87,390",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzg4ODMzNjU4NzIxMjYwOjE3NTE3OTIyNTQ6c3BfbXRmOjMwMDU3ODMxMTkzMzczMjo6MDo6&url=%2FLenovo-I5-12450HX-NVIDIA-Windows-83GS00LJIN%2Fdp%2FB0DPQJBMVK%2Fref%3Dsr_1_76_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792254%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-76-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB
18,"P 15, AMD Ryzen 5 7520U (8GB LPDDR5, 512GB SSD) Anti-Glare, FHD,15.6-inch (39.6 cm) Win 11, Office 21, FHD Camera with Privacy Shutter,15s-fc0155A","33,990","53,412.23",https://www.amazon.in/HP-RyzenTM-15-6-inch-Speakers-15s-fc0155AU/dp/B0CY2R1G3G/ref=sr_1_77?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-77&xpid=HcM-_OC8u0A4U
19,"ogitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Lapto",549,"1,195",https://www.amazon.in/Logitech-Wireless-Receiver-Ambidextrous-Compatible/dp/B0D18192T2/ref=sr_1_78?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-78&xpid=HcM-_OC8u0A4U
